reactiveSite,EC1,EC2,EC3,EC4,EC5,EC6
18|18|25|28|3|44|44|8|,0,1,0,0,0,0
18|18|25|28|44|44|44|8|,0,1,0,0,0,0
18|18|25|28|44|44|47|,0,0,0,1,0,0
18|18|25|28|44|44|66|,0,0,0,1,0,0
18|18|25|28|44|8|,0,0,0,1,0,0
18|18|25|37|37|8|,0,1,0,0,0,0
18|18|25|37|44|44|8|,0,1,0,0,0,0
18|18|25|3|37|44|8|,0,1,0,0,0,0
18|18|25|3|44|,0,0,0,0,1,0
18|18|25|44|44|,0,0,0,0,1,0
18|18|25|44|44|72|,0,0,0,1,0,0
18|18|26|26|,1,0,0,1,0,0
18|18|26|26|26|26|,1,0,0,0,0,0
18|18|26|26|26|26|26|26|26|26|,1,0,0,0,0,0
18|18|26|26|26|26|26|28|28|,0,0,1,0,0,0
18|18|26|26|26|26|26|28|28|29|44|,0,0,1,0,0,0
18|18|26|26|26|26|28|28|29|,1,0,0,0,0,0
18|18|26|26|26|26|28|28|29|44|44|,0,0,1,0,0,0
18|18|26|26|26|26|28|28|44|,0,0,1,0,0,0
18|18|26|26|26|26|29|,1,0,0,0,0,0
18|18|26|26|26|27|28|44|44|66|,0,0,0,0,1,0
18|18|26|26|26|27|28|44|44|69|,0,0,0,0,1,0
18|18|26|26|26|27|28|44|44|77|,0,0,0,0,1,0
18|18|26|26|26|28|28|29|37|,1,0,0,0,0,0
18|18|26|26|26|28|29|42|44|44|,0,0,0,0,1,0
18|18|26|26|26|28|29|43|44|44|,0,0,0,0,1,0
18|18|26|26|26|28|29|44|,0,0,0,0,1,0
18|18|26|26|26|28|29|44|44|67|,0,0,0,0,1,0
18|18|26|26|26|29|37|,1,0,0,0,0,0
18|18|26|26|27|28|44|66|,0,0,0,0,1,0
18|18|26|26|27|28|44|69|,0,0,0,0,1,0
18|18|26|26|27|28|44|77|,0,0,0,0,1,0
18|18|26|26|28|28|29|29|44|9|,0,0,1,0,0,0
18|18|26|26|28|28|29|37|37|,1,0,0,0,0,0
18|18|26|26|28|28|29|3|3|44|,0,0,0,1,0,0
18|18|26|26|28|28|29|3|44|44|,0,0,0,1,0,0
18|18|26|26|28|28|29|3|4|44|,0,0,0,1,0,0
18|18|26|26|28|28|29|44|66|,0,0,1,0,0,0
18|18|26|26|28|28|29|44|69|,0,0,1,0,0,0
18|18|26|26|28|28|29|44|77|,0,0,1,0,0,0
18|18|26|26|28|29|42|44|,0,0,0,0,1,0
18|18|26|26|28|29|43|44|,0,0,0,0,1,0
18|18|26|26|28|29|44|67|,0,0,0,0,1,0
18|18|26|26|28|38|44|,1,0,0,0,0,0
18|18|26|26|28|44|7|,1,0,0,0,0,0
18|18|26|26|29|29|29|37|44|44|44|,1,0,0,0,0,0
18|18|26|26|29|29|29|44|44|44|9|,1,0,0,0,0,0
18|18|26|26|29|29|44|44|44|62|,1,0,0,0,0,0
18|18|26|26|29|29|44|44|44|66|,1,0,0,0,0,0
18|18|26|26|29|37|37|,1,0,0,0,0,0
18|18|26|26|31|,1,0,0,1,0,0
18|18|26|26|31|37|39|44|44|,0,0,0,1,0,0
18|18|26|26|34|,1,0,0,0,0,0
18|18|26|26|39|,1,0,0,0,0,0
18|18|26|26|39|44|,1,0,0,0,0,0
18|18|26|26|43|44|,1,0,0,0,0,0
18|18|26|27|3|3|3|3|44|,0,0,0,0,1,0
18|18|26|28|,1,0,0,0,0,0
18|18|26|28|28|28|3|3|31|4|44|,1,0,0,0,0,0
18|18|26|28|28|29|29|44|8|,0,1,0,0,0,0
18|18|26|28|28|29|29|46|8|,0,1,0,0,0,0
18|18|26|28|28|29|37|37|37|,1,0,0,0,0,0
18|18|26|28|28|29|3|44|8|,0,1,0,0,0,0
18|18|26|28|28|29|3|46|8|,0,1,0,0,0,0
18|18|26|28|28|29|44|44|8|,0,1,0,0,0,0
18|18|26|28|28|29|44|46|8|,0,1,0,0,0,0
18|18|26|28|29|3|3|31|44|,1,0,0,0,0,0
18|18|26|28|31|31|,0,0,0,0,0,1
18|18|26|28|31|34|,0,0,0,0,0,1
18|18|26|28|31|39|,0,0,0,0,0,1
18|18|26|28|34|34|,0,0,0,0,0,1
18|18|26|28|34|39|,0,0,0,0,0,1
18|18|26|28|3|,0,0,0,1,0,0
18|18|26|28|3|3|44|,0,0,0,1,0,0
18|18|26|28|3|44|44|,0,0,0,1,0,0
18|18|26|28|3|4|44|,0,0,0,1,0,0
18|18|26|28|44|,0,0,0,1,0,0
18|18|26|28|4|,0,0,0,1,0,0
18|18|26|29|37|37|37|,1,0,0,0,0,0
18|18|26|29|3|3|37|4|44|,1,0,0,0,0,0
18|18|26|29|3|3|44|,0,0,0,1,0,0
18|18|26|29|3|44|44|,0,0,0,1,0,0
18|18|26|29|3|4|44|,0,0,0,1,0,0
18|18|26|29|44|,0,0,0,1,0,0
18|18|26|31|37|44|,1,0,0,0,0,0
18|18|26|32|,1,0,0,0,0,0
18|18|26|36|,1,0,0,0,0,0
18|18|26|37|,1,0,0,0,0,0
18|18|27|,1,0,0,0,0,0
18|18|27|28|28|29|29|3|39|41|,0,0,0,0,0,1
18|18|27|28|28|29|3|3|39|44|44|5|,1,0,0,0,0,0
18|18|27|28|3|,0,1,0,0,0,0
18|18|27|28|41|,0,1,0,0,0,0
18|18|28|28|29|,1,0,0,0,0,0
18|18|28|28|29|29|3|39|44|,0,0,0,0,0,1
18|18|28|28|29|29|3|3|3|44|,0,1,0,0,0,0
18|18|28|28|29|29|3|3|44|44|,0,1,0,0,0,0
18|18|28|28|29|37|37|37|37|,1,0,0,0,0,0
18|18|28|28|29|3|3|3|31|4|44|,1,0,0,0,0,0
18|18|28|28|29|3|3|3|3|,1,0,0,0,0,0
18|18|28|28|29|3|44|,0,0,0,1,0,0
18|18|28|28|29|3|44|8|,0,1,0,0,0,0
18|18|28|28|29|4|44|,0,0,0,1,0,0
18|18|28|28|31|,1,0,0,0,0,0
18|18|28|28|31|31|,0,0,0,0,0,1
18|18|28|28|31|34|,0,0,0,0,0,1
18|18|28|28|31|39|,0,0,0,0,0,1
18|18|28|28|34|34|,0,0,0,0,0,1
18|18|28|28|34|39|,0,0,0,0,0,1
18|18|28|28|39|44|,0,0,0,1,0,0
18|18|28|28|3|3|3|3|,0,0,1,0,0,0
18|18|28|28|3|3|44|,0,0,0,1,0,0
18|18|28|28|3|44|44|,0,0,0,1,0,0
18|18|28|28|44|,1,0,0,0,0,0
18|18|28|29|,0,0,0,0,0,1
18|18|28|29|29|3|37|44|44|5|,0,0,0,1,0,0
18|18|28|29|29|3|3|37|44|44|,0,0,0,1,0,0
18|18|28|29|29|3|3|44|,0,1,0,0,0,0
18|18|28|29|29|3|44|44|,0,1,0,0,0,0
18|18|28|29|44|,1,0,0,1,0,0
18|18|28|31|41|,0,1,0,0,0,0
18|18|28|31|44|,1,0,0,0,0,0
18|18|28|32|,1,0,0,0,0,0
18|18|28|37|,1,0,0,0,0,0
18|18|28|3|31|,0,1,0,0,0,0
18|18|28|3|37|44|44|,0,0,0,1,0,0
18|18|28|3|3|37|44|,0,0,0,1,0,0
18|18|28|3|44|,0,0,0,1,0,0
18|18|28|7|,1,0,0,0,0,0
18|18|28|8|,1,0,0,0,0,0
18|18|28|9|,1,0,0,0,0,0
18|18|29|,1,0,0,0,0,0
18|18|29|29|3|3|31|44|,1,0,0,0,0,0
18|18|29|29|44|44|,1,0,0,0,0,0
18|18|29|29|44|44|44|62|,1,0,0,0,0,0
18|18|29|29|44|44|44|66|,1,0,0,0,0,0
18|18|29|31|44|,1,0,0,0,0,0
18|18|29|34|44|,1,0,0,0,0,0
18|18|29|37|37|37|37|,1,0,0,0,0,0
18|18|29|39|44|,1,0,0,0,1,0
18|18|29|3|3|39|44|,0,0,0,0,1,0
18|18|29|44|,0,0,0,0,1,0
18|18|31|,1,0,0,0,0,0
18|18|31|44|,1,0,0,0,0,0
18|18|32|32|,1,0,0,0,0,0
18|18|32|36|,1,0,0,0,0,0
18|18|32|37|,1,0,0,0,0,0
18|18|36|37|,1,0,0,0,0,0
18|18|37|37|,1,0,0,0,0,0
18|18|39|,0,0,0,1,0,0
18|18|39|39|44|44|44|44|,1,0,0,0,0,0
18|18|39|44|,1,0,0,0,0,0
18|18|3|3|3|3|,0,0,0,1,0,0
18|18|3|3|3|44|,0,0,0,1,0,0
18|18|3|3|44|44|,0,0,0,1,0,0
18|18|3|44|44|44|,0,0,0,1,0,0
18|18|44|,1,0,0,0,0,0
18|18|44|44|44|44|,0,0,0,1,0,0
18|18|44|62|,1,0,0,0,0,0
18|18|8|,1,0,0,0,0,0
18|18|9|,1,0,0,0,0,0
18|19|,1,0,0,0,0,0
18|19|19|19|26|28|29|44|,0,0,0,1,0,0
18|19|19|19|27|28|,1,0,0,0,0,0
18|19|19|19|27|29|3|44|,0,1,0,0,0,0
18|19|19|19|27|29|41|44|,0,1,0,0,0,0
18|19|19|19|28|,1,0,0,0,0,0
18|19|19|19|28|29|3|44|,1,0,0,0,0,0
18|19|19|19|28|29|44|44|,1,0,0,0,0,0
18|19|19|19|28|39|44|44|44|,1,0,0,0,0,0
18|19|19|19|28|3|39|44|44|,1,0,0,0,0,0
18|19|19|19|28|3|3|31|,1,0,0,0,0,0
18|19|19|19|28|3|3|34|,1,0,0,0,0,0
18|19|19|19|28|3|3|39|,1,0,0,0,0,0
18|19|19|19|28|44|44|44|,1,0,0,0,0,0
18|19|19|19|37|44|,1,0,0,0,0,0
18|19|19|19|39|44|57|,0,0,0,1,0,0
18|19|19|19|39|44|8|,0,0,0,1,0,0
18|19|19|19|3|37|,1,0,0,0,0,0
18|19|19|20|26|28|29|44|,0,0,0,1,0,0
18|19|19|20|28|29|3|44|,1,0,0,0,0,0
18|19|19|20|28|29|44|44|,1,0,0,0,0,0
18|19|19|20|28|39|44|44|44|,1,0,0,0,0,0
18|19|19|20|28|3|39|44|44|,1,0,0,0,0,0
18|19|19|20|37|44|,1,0,0,0,0,0
18|19|19|20|3|37|,1,0,0,0,0,0
18|19|19|22|25|27|27|29|41|41|44|44|,0,1,0,0,0,0
18|19|19|22|44|,0,0,0,0,1,0
18|19|19|22|44|44|,1,0,0,0,0,0
18|19|19|25|26|28|29|44|,0,0,0,1,0,0
18|19|19|25|26|44|,0,1,0,0,0,0
18|19|19|25|28|29|3|44|,1,0,0,0,0,0
18|19|19|25|28|29|44|44|,1,0,0,0,0,0
18|19|19|25|28|29|44|44|44|,0,0,0,1,0,0
18|19|19|25|28|44|44|44|44|,0,0,0,1,0,0
18|19|19|26|26|27|28|29|44|,0,0,0,1,0,0
18|19|19|26|26|28|29|29|44|,0,0,0,1,0,0
18|19|19|26|28|28|29|44|44|,0,0,0,1,0,0
18|19|19|26|28|44|44|47|,0,0,0,1,0,0
18|19|19|26|44|,0,0,0,0,1,0
18|19|19|26|44|44|,1,0,0,0,0,0
18|19|19|27|27|29|3|44|,0,1,0,0,0,0
18|19|19|27|27|29|41|44|,0,1,0,0,0,0
18|19|19|27|28|3|44|,0,0,0,1,0,0
18|19|19|27|28|44|44|,0,0,0,1,0,0
18|19|19|27|28|4|44|,0,0,0,1,0,0
18|19|19|27|29|31|41|44|,0,1,0,0,0,0
18|19|19|27|29|35|41|44|,0,1,0,0,0,0
18|19|19|27|29|3|31|44|,0,1,0,0,0,0
18|19|19|27|29|3|35|44|,0,1,0,0,0,0
18|19|19|27|29|3|41|44|,0,1,0,0,0,0
18|19|19|27|29|41|41|44|,0,1,0,0,0,0
18|19|19|28|29|29|3|3|44|44|,0,1,0,0,0,0
18|19|19|28|29|29|3|44|44|44|,0,1,0,0,0,0
18|19|19|28|29|29|44|44|44|44|,0,1,0,0,0,0
18|19|19|28|29|39|44|44|,0,0,0,0,1,0
18|19|19|28|29|39|44|44|44|,0,0,1,0,0,0
18|19|19|28|29|3|39|44|44|,0,0,1,0,0,0
18|19|19|28|29|3|3|39|44|,0,0,1,0,0,0
18|19|19|28|29|3|44|,0,0,0,1,1,0
18|19|19|28|29|44|44|,0,0,0,1,0,0
18|19|19|28|29|44|44|44|44|,0,0,0,1,0,0
18|19|19|28|29|44|5|,0,0,0,0,1,0
18|19|19|28|29|4|44|,0,0,0,1,1,0
18|19|19|28|39|44|44|,0,0,1,0,0,0
18|19|19|28|3|39|44|,0,0,1,0,0,0
18|19|19|28|3|3|39|,0,0,1,0,0,0
18|19|19|28|3|44|8|,0,0,0,0,1,0
18|19|19|28|44|44|,1,0,0,0,0,0
18|19|19|28|44|44|44|44|44|,0,0,0,1,0,0
18|19|19|28|44|44|8|,1,0,0,0,0,0
18|19|19|28|44|5|8|,0,0,0,0,1,0
18|19|19|28|4|44|8|,0,0,0,0,1,0
18|19|19|29|29|3|3|44|,0,1,0,0,0,0
18|19|19|29|29|3|44|44|,0,1,0,0,0,0
18|19|19|29|29|44|44|44|,0,1,0,0,0,0
18|19|19|29|44|,0,1,0,1,0,0
18|19|19|32|44|44|,1,0,0,0,0,0
18|19|19|36|44|44|,1,0,0,0,0,0
18|19|19|37|44|44|,1,0,0,0,0,0
18|19|19|39|43|44|,0,0,0,1,0,0
18|19|19|39|44|57|,0,0,0,1,0,0
18|19|19|39|44|7|,0,0,0,1,0,0
18|19|19|39|44|8|,0,0,0,1,0,0
18|19|19|3|3|31|44|44|5|,1,0,0,0,0,0
18|19|19|44|44|8|,1,0,0,0,0,0
18|19|20|20|26|28|29|44|,0,0,0,1,0,0
18|19|20|20|28|29|3|44|,1,0,0,0,0,0
18|19|20|20|28|29|44|44|,1,0,0,0,0,0
18|19|20|20|28|39|44|44|44|,1,0,0,0,0,0
18|19|20|20|28|3|39|44|44|,1,0,0,0,0,0
18|19|20|20|37|44|,1,0,0,0,0,0
18|19|20|20|3|37|,1,0,0,0,0,0
18|19|20|22|44|,0,0,0,0,1,0
18|19|20|25|26|28|29|44|,0,0,0,1,0,0
18|19|20|25|28|29|29|44|44|,0,0,0,1,0,0
18|19|20|25|28|29|3|44|,1,0,0,0,0,0
18|19|20|25|28|29|44|44|,1,0,0,0,0,0
18|19|20|26|26|26|26|28|29|44|44|,1,0,0,0,0,0
18|19|20|26|26|27|28|29|44|,0,0,0,1,0,0
18|19|20|26|26|27|28|44|,0,0,0,0,1,0
18|19|20|26|26|28|29|29|44|,0,0,0,1,0,0
18|19|20|26|44|,0,0,0,0,1,0
18|19|20|27|28|3|44|,0,0,0,1,0,0
18|19|20|27|28|44|44|,0,0,0,1,0,0
18|19|20|27|28|4|44|,0,0,0,1,0,0
18|19|20|28|29|29|3|3|44|44|,0,1,0,0,0,0
18|19|20|28|29|29|3|44|44|44|,0,1,0,0,0,0
18|19|20|28|29|29|44|44|44|44|,0,1,0,0,0,0
18|19|20|28|29|39|44|44|,0,0,0,0,1,0
18|19|20|28|29|3|44|,0,0,0,1,0,0
18|19|20|28|29|44|44|,0,0,0,1,0,0
18|19|20|28|29|4|44|,0,0,0,1,0,0
18|19|20|28|39|44|44|,0,0,1,0,0,0
18|19|20|28|3|39|44|,0,0,1,0,0,0
18|19|20|28|3|3|39|,0,0,1,0,0,0
18|19|20|29|29|3|3|44|,0,1,0,0,0,0
18|19|20|29|29|3|44|44|,0,1,0,0,0,0
18|19|20|29|29|44|,0,0,0,1,0,0
18|19|20|29|29|44|44|44|,0,1,0,0,0,0
18|19|20|29|44|,0,0,0,1,0,0
18|19|20|29|44|8|,0,0,0,1,0,0
18|19|20|3|3|31|44|44|5|,1,0,0,0,0,0
18|19|22|25|44|,0,0,0,0,1,0
18|19|22|25|44|44|,1,0,0,0,0,0
18|19|22|26|26|26|26|28|28|29|44|,0,0,1,0,0,0
18|19|22|26|28|44|,0,0,0,0,1,0
18|19|22|27|29|,0,0,0,0,1,0
18|19|22|44|44|,0,0,0,0,1,0
18|19|24|29|44|,0,0,0,1,0,0
18|19|25|25|28|29|3|44|,1,0,0,0,0,0
18|19|25|25|28|29|44|44|,1,0,0,0,0,0
18|19|25|25|28|29|44|44|44|,0,0,0,1,0,0
18|19|25|25|28|44|44|44|44|,0,0,0,1,0,0
18|19|25|26|28|28|29|44|44|,0,0,0,1,0,0
18|19|25|26|28|44|44|47|,0,0,0,1,0,0
18|19|25|26|29|3|,0,0,0,0,1,0
18|19|25|26|29|44|44|,1,0,0,0,0,0
18|19|25|26|44|,0,0,0,0,1,0
18|19|25|26|44|44|,1,0,0,0,0,0
18|19|25|28|29|39|44|44|44|,0,0,1,0,0,0
18|19|25|28|29|3|39|44|44|,0,0,1,0,0,0
18|19|25|28|29|3|3|39|44|,0,0,1,0,0,0
18|19|25|28|29|44|44|44|44|,0,0,0,1,0,0
18|19|25|28|44|44|,1,0,0,1,0,0
18|19|25|28|44|44|44|44|44|,0,0,0,1,0,0
18|19|25|32|44|44|,1,0,0,0,0,0
18|19|25|36|44|44|,1,0,0,0,0,0
18|19|25|37|44|44|,1,0,0,0,0,0
18|19|25|3|3|31|44|44|5|,1,0,0,0,0,0
18|19|26|26|26|26|26|28|28|,0,0,1,0,0,0
18|19|26|26|26|26|26|28|28|29|44|,0,0,1,0,0,0
18|19|26|26|26|28|3|,0,0,0,0,0,1
18|19|26|26|26|28|44|,0,0,0,0,0,1
18|19|26|26|26|28|8|,0,0,0,0,0,1
18|19|26|26|28|3|44|,0,0,0,0,0,1
18|19|26|26|28|44|,0,0,0,0,1,0
18|19|26|26|28|44|44|,0,0,0,0,0,1
18|19|26|26|28|44|8|,0,0,0,0,0,1
18|19|26|27|29|,0,0,0,0,1,0
18|19|26|28|28|29|29|,0,0,1,0,0,0
18|19|26|28|28|29|29|29|44|,0,0,1,0,0,0
18|19|26|28|28|29|29|3|44|,0,0,1,0,0,0
18|19|26|28|28|29|29|44|44|,0,0,1,0,0,0
18|19|26|28|28|29|29|44|46|,0,0,1,0,0,0
18|19|26|28|28|29|3|,0,0,1,0,0,0
18|19|26|28|28|29|3|3|44|,0,0,1,0,0,0
18|19|26|28|28|29|3|44|,0,0,0,1,0,0
18|19|26|28|28|29|3|44|44|,0,0,1,0,0,0
18|19|26|28|28|29|3|44|46|,0,0,1,0,0,0
18|19|26|28|28|29|44|,1,0,1,0,0,0
18|19|26|28|28|29|44|44|,1,0,0,1,0,0
18|19|26|28|28|29|44|44|44|,0,0,1,0,0,0
18|19|26|28|28|29|44|44|46|,0,0,1,0,0,0
18|19|26|28|28|29|44|46|46|,0,0,1,0,0,0
18|19|26|28|28|29|46|,0,0,1,0,0,0
18|19|26|28|28|29|4|44|,0,0,0,1,0,0
18|19|26|28|28|3|3|,0,0,1,0,0,0
18|19|26|28|28|3|44|,0,1,1,0,0,0
18|19|26|28|28|3|44|44|8|,0,1,0,0,0,0
18|19|26|28|28|3|44|8|8|,0,1,0,0,0,0
18|19|26|28|28|3|46|,0,0,1,0,0,0
18|19|26|28|28|3|8|,0,1,0,0,0,0
18|19|26|28|28|44|44|,0,1,1,0,0,0
18|19|26|28|28|44|44|44|8|,0,1,0,0,0,0
18|19|26|28|28|44|44|8|8|,0,1,0,0,0,0
18|19|26|28|28|44|46|,0,0,1,0,0,0
18|19|26|28|28|44|8|,0,1,0,0,0,0
18|19|26|28|28|46|46|,0,0,1,0,0,0
18|19|26|28|29|44|,0,0,0,1,0,0
18|19|26|28|3|,0,0,0,0,0,1
18|19|26|28|44|,0,0,0,0,0,1
18|19|26|28|44|44|47|,0,0,0,1,0,0
18|19|26|28|44|44|66|,0,0,0,1,0,0
18|19|26|28|44|8|,0,0,0,1,0,0
18|19|26|28|8|,0,0,0,0,0,1
18|19|26|29|31|44|,0,0,0,1,0,0
18|19|26|29|44|,0,0,0,1,0,0
18|19|26|44|44|,0,0,0,0,1,0
18|19|26|44|44|72|,0,0,0,1,0,0
18|19|27|,1,0,1,0,0,0
18|19|27|27|29|3|41|44|,0,1,0,0,0,0
18|19|27|27|29|41|41|44|,0,1,0,0,0,0
18|19|27|29|31|41|41|44|,0,1,0,0,0,0
18|19|27|29|35|41|41|44|,0,1,0,0,0,0
18|19|27|29|3|31|41|44|,0,1,0,0,0,0
18|19|27|29|3|35|41|44|,0,1,0,0,0,0
18|19|27|29|3|41|44|44|,0,0,0,1,0,0
18|19|27|29|41|41|44|61|,0,1,0,0,0,0
18|19|27|29|44|,0,1,0,0,0,0
18|19|28|29|,0,0,0,0,0,1
18|19|28|29|31|44|,0,0,0,1,0,0
18|19|28|29|39|44|44|44|,0,0,0,1,0,0
18|19|28|29|39|44|44|5|,0,0,0,1,0,0
18|19|28|29|39|44|5|5|,0,0,0,1,0,0
18|19|28|29|3|39|44|44|,0,0,0,1,0,0
18|19|28|29|3|39|44|44|44|,0,0,0,1,0,0
18|19|28|29|3|39|44|44|5|,0,0,0,1,0,0
18|19|28|29|3|39|44|5|,0,0,0,1,0,0
18|19|28|29|3|39|44|5|5|,0,0,0,1,0,0
18|19|28|29|3|3|31|44|44|,0,0,0,0,1,0
18|19|28|29|3|3|39|44|,0,0,0,1,0,0
18|19|28|29|3|3|39|44|44|,0,0,0,1,0,0
18|19|28|29|3|3|39|44|5|,0,0,0,1,0,0
18|19|28|29|3|3|3|39|44|,0,0,0,1,0,0
18|19|28|29|3|3|3|40|44|,0,0,0,1,0,0
18|19|28|29|3|3|40|44|,0,0,0,1,0,0
18|19|28|29|3|3|40|44|44|,0,0,0,1,0,0
18|19|28|29|3|3|40|44|5|,0,0,0,1,0,0
18|19|28|29|3|3|44|,0,0,0,1,0,0
18|19|28|29|3|40|44|44|,0,0,0,1,0,0
18|19|28|29|3|40|44|44|44|,0,0,0,1,0,0
18|19|28|29|3|40|44|44|5|,0,0,0,1,0,0
18|19|28|29|3|40|44|5|,0,0,0,1,0,0
18|19|28|29|3|40|44|5|5|,0,0,0,1,0,0
18|19|28|29|3|44|,0,0,0,1,0,0
18|19|28|29|3|44|44|,0,0,0,1,0,0
18|19|28|29|40|44|44|44|,0,0,0,1,0,0
18|19|28|29|40|44|44|5|,0,0,0,1,0,0
18|19|28|29|40|44|5|5|,0,0,0,1,0,0
18|19|28|29|44|,0,0,0,1,1,0
18|19|28|29|44|44|,0,0,0,1,0,0
18|19|28|39|44|,0,0,0,1,0,0
18|19|28|39|44|44|,0,0,0,1,0,0
18|19|28|39|44|44|44|,0,1,0,0,0,0
18|19|28|39|44|44|46|,0,1,0,0,0,0
18|19|28|39|44|46|46|,0,1,0,0,0,0
18|19|28|3|39|44|44|,0,1,0,0,0,0
18|19|28|3|39|44|46|,0,1,0,0,0,0
18|19|28|3|3|39|44|,0,1,0,0,0,0
18|19|28|3|3|40|44|,0,1,0,0,0,0
18|19|28|3|40|44|44|,0,1,0,0,0,0
18|19|28|3|40|44|46|,0,1,0,0,0,0
18|19|28|3|44|,0,0,0,1,0,0
18|19|28|40|44|44|44|,0,1,0,0,0,0
18|19|28|40|44|44|46|,0,1,0,0,0,0
18|19|28|40|44|46|46|,0,1,0,0,0,0
18|19|28|41|,0,0,0,0,1,0
18|19|28|44|,1,0,0,1,1,0
18|19|28|44|44|,0,0,0,1,0,0
18|19|28|44|8|,1,0,0,0,0,0
18|19|28|4|44|,0,0,0,1,0,0
18|19|28|7|,1,0,0,0,0,0
18|19|28|8|,1,0,0,0,0,0
18|19|28|9|,1,0,0,0,0,0
18|19|29|29|44|,0,0,1,0,0,0
18|19|29|31|44|,0,1,0,0,1,0
18|19|29|39|44|,0,0,0,0,1,0
18|19|29|3|37|44|44|,0,0,0,1,0,0
18|19|29|3|3|31|44|,0,0,0,0,1,0
18|19|29|3|3|37|44|,0,0,0,1,0,0
18|19|29|3|3|39|44|,0,0,0,0,1,0
18|19|29|3|44|44|,1,0,0,0,0,0
18|19|29|44|61|,0,1,0,0,0,0
18|19|31|,0,1,0,0,0,0
18|19|3|44|44|,1,0,0,0,0,0
18|19|8|,1,0,0,0,0,0
18|19|9|,1,0,0,0,0,0
18|20|,1,0,0,0,0,0
18|20|20|20|28|29|3|44|,1,0,0,0,0,0
18|20|20|20|28|29|44|44|,1,0,0,0,0,0
18|20|20|20|28|39|44|44|44|,1,0,0,0,0,0
18|20|20|20|28|3|39|44|44|,1,0,0,0,0,0
18|20|20|20|37|44|,1,0,0,0,0,0
18|20|20|20|3|37|,1,0,0,0,0,0
18|20|20|25|26|28|29|44|,0,0,0,1,0,0
18|20|20|25|28|29|3|44|,1,0,0,0,0,0
18|20|20|25|28|29|44|44|,1,0,0,0,0,0
18|20|20|26|26|26|29|29|44|44|,1,0,0,0,0,0
18|20|20|26|26|27|28|29|44|,0,0,0,1,0,0
18|20|20|26|26|28|29|29|44|,0,0,0,1,0,0
18|20|20|28|,0,0,0,0,1,0
18|20|20|29|44|,0,0,0,1,0,0
18|20|22|25|44|,0,0,0,0,1,0
18|20|22|27|29|,0,0,0,0,1,0
18|20|24|29|44|,0,0,0,1,0,0
18|20|25|25|28|29|3|44|,1,0,0,0,0,0
18|20|25|25|28|29|44|44|,1,0,0,0,0,0
18|20|25|26|26|27|28|44|,0,0,0,0,1,0
18|20|25|26|44|,0,0,0,0,1,0
18|20|25|28|29|39|44|44|,0,0,0,0,1,0
18|20|25|3|3|31|44|44|5|,1,0,0,0,0,0
18|20|26|26|26|28|3|,0,0,0,0,0,1
18|20|26|26|26|28|44|,0,0,0,0,0,1
18|20|26|26|26|28|8|,0,0,0,0,0,1
18|20|26|26|27|28|44|66|,0,0,0,0,1,0
18|20|26|26|27|28|44|69|,0,0,0,0,1,0
18|20|26|26|27|28|44|77|,0,0,0,0,1,0
18|20|26|26|28|29|42|44|,0,0,0,0,1,0
18|20|26|26|28|29|43|44|,0,0,0,0,1,0
18|20|26|26|28|29|44|67|,0,0,0,0,1,0
18|20|26|27|28|42|,0,0,1,0,0,0
18|20|26|27|28|43|,0,0,1,0,0,0
18|20|26|27|28|67|,0,0,1,0,0,0
18|20|26|27|29|,0,0,0,0,1,0
18|20|26|28|28|29|29|,0,0,1,0,0,0
18|20|26|28|28|29|3|,0,0,1,0,0,0
18|20|26|28|28|29|3|44|,0,0,0,1,0,0
18|20|26|28|28|29|44|,1,0,1,0,0,0
18|20|26|28|28|29|44|44|,0,0,0,1,0,0
18|20|26|28|28|29|46|,0,0,1,0,0,0
18|20|26|28|28|29|4|44|,0,0,0,1,0,0
18|20|26|28|28|3|3|,0,0,1,0,0,0
18|20|26|28|28|3|44|,0,0,1,0,0,0
18|20|26|28|28|3|46|,0,0,1,0,0,0
18|20|26|28|28|44|44|,0,0,1,0,0,0
18|20|26|28|28|44|46|,0,0,1,0,0,0
18|20|26|28|28|46|46|,0,0,1,0,0,0
18|20|26|29|44|,0,0,0,1,0,0
18|20|27|,1,0,1,0,0,0
18|20|27|28|28|3|7|,0,0,1,0,0,0
18|20|28|29|31|44|,0,0,0,1,0,0
18|20|28|29|39|44|44|44|,0,0,0,1,0,0
18|20|28|29|39|44|44|5|,0,0,0,1,0,0
18|20|28|29|39|44|5|5|,0,0,0,1,0,0
18|20|28|29|3|39|44|44|,0,0,0,1,0,0
18|20|28|29|3|39|44|44|44|,0,0,0,1,0,0
18|20|28|29|3|39|44|44|5|,0,0,0,1,0,0
18|20|28|29|3|39|44|5|,0,0,0,1,0,0
18|20|28|29|3|39|44|5|5|,0,0,0,1,0,0
18|20|28|29|3|3|39|44|,0,0,0,1,0,0
18|20|28|29|3|3|39|44|44|,0,0,0,1,0,0
18|20|28|29|3|3|39|44|5|,0,0,0,1,0,0
18|20|28|29|3|3|3|39|44|,0,0,0,1,0,0
18|20|28|29|3|3|3|3|3|44|,0,0,0,1,0,0
18|20|28|29|3|3|3|40|44|,0,0,0,1,0,0
18|20|28|29|3|3|40|44|,0,0,0,1,0,0
18|20|28|29|3|3|40|44|44|,0,0,0,1,0,0
18|20|28|29|3|3|40|44|5|,0,0,0,1,0,0
18|20|28|29|3|3|44|,0,0,0,1,0,0
